,kor,eng
10579,나는 노력은 할 수 있지만 해낼 수 있을지는 모르겠어 .,I can try but I am not sure if I could make it .
10580,나는 노력해서 이 시험에 통과할 것이에요 .,I will pass this exam with my own effort .
10581,나는 노르웨이라는 나라에 대해서 소개할 거예요 .,I want to explain to you the country Norway .
10582,나는 노르웨이로 내 아들을 보낼 것이에요 .,I will send my son to Norway .
10583,나는 노를 저어서 우리 아빠에게 갔어요 .,I went to my dad by rowing .
10584,나는 노인 요양원에서 살고 싶습니다 .,I want to live in an elderly nursing home .
10585,나는 노키아에서 15년을 근무했었어요 .,I worked for Nokia for 15 years .
10586,나는 노트북에 외부 인터넷이 필요해요 .,I need the outside internet for my lap top .
10587,나는 노트북으로 서류 작업을 하고 있습니다 .,I am working on my document with my laptop .
10588,나는 노트북을 인터넷 서핑할 때만 합니다 .,I use the laptop to surf the Internet only .
10589,나는 노폐물과 메이크업 잔여물 제거 각질 제거를 해요 .,I do the removal of bodily wastes make up residues and exfoliate .
10590,나는 노후 연금을 위해 저축하고 있어 .,I have been saving money for the old age pension .
10591,나는 녹색 치마에 빨간 스웨터를 입었습니다 .,I wore a green skirt and a red sweater .
10592,나는 녹십자에서 마케팅을 담당하고 있습니다 .,I am responsible for marketing at Green Cross .
10593,나는 녹음을 하고 싶습니다 .,I want to record .
10594,나는 녹차를 더 좋아합니다 .,I d prefer green tea .
10595,나는 논리적이지 않을까요 ?,Am I not a logical person ?
10596,나는 논문 출간 일정을 알고 싶어요 .,I want to know when the paper would be published .
10597,나는 놀 것을 생각하며 매우 기뻤습니다 .,I was very happy thinking about playing .
10598,나는 놀라운 광경에 발걸음을 멈췄어요 .,I stopped at a wonderful spectacle .
10599,나는 놀이공원에 가게 되어서 너무 신나 !,I am so excited to go to the amusement park !
10600,나는 놀이기구가 무서워서 잘 못 타 .,I can t go on rides well because I m scared .
10601,나는 놀이동산 아르바이트를 해본 적이 있어 .,I have experience working in an amusement park .
10602,나는 놀이터에서 우리 아들과 놀았어요 .,I played with my son on the playground .
10603,나는 놀이터에서 팔이 부러진 적이 있어 .,I have broken my arm at the playground .
10604,나는 농담을 할 줄 몰라요 .,I don t know how to tell a joke .
10605,나는 농업계의 후계자입니다 .,I am the heir of agriculture .
10606,나는 농업고등학교에서 원예를 전공했습니다 .,I majored in horticulture at an agricultural high school .
10607,나는 농장일도 해보고 싶고 여러 가지 경험을 하고 싶어 .,I want to experience many things including farming .
10608,나는 높은 암벽을 바라보며 두려움을 느꼈어 .,I felt fear by looking at the high rocks .
10609,나는 높은 언어 장벽 때문에 힘들었어 .,I had trouble facing the high language barrier .
10610,나는 높은 출연료가 무조건 잘못됐다고도 생각하지 않고 무조건 옳다고도 생각하지 않습니다 .,I don t blindly agree with nor do I oppose a high guarantee .
10611,나는 높은 층과 좋은 전망을 원해요 .,I want a high floor and a good view .
10612,나는 높은 토익 점수를 얻기 위해 공부를 하겠어요 .,I will study hard in order to obtain a high TOEIC score .
10613,나는 높은 행복 지수를 가지고 있어 .,I have a high level of happiness .
10614,나는 누가 금을 가져갔는지 보지 못했습니다 .,I didn t see who took the gold .
10615,나는 누가 나에게 함부로 대할 때 화가 나 .,I m also angry when someone treats me with a sneer .
10616,나는 누가 나의 팀에 와도 좋은 커뮤니티를 잘 만들어 나갈 수 있습니다 .,I can make a good community whoever joins in my team .
10617,나는 누가 파티에 왔는지 궁금합니다 .,I wonder who came to the party .
10618,나는 누구나 들으면 알만한 가수가 되고 싶어요 .,I want to be a famous singer that everyone knows .
10619,나는 누구나 영웅이 될 수 있다는 명대사를 잊을 수 없어 .,I can t forget the famous saying that anybody can be a hero .
10620,나는 누구누구이고 이렇습니다 .,I am such a person and such .
10621,나는 누구도 비난하거나 원망하고 싶지 않아 .,I don t want to blame or resent anyone .
10622,나는 누구든지 사람이라면 약점을 가지고 있다고 생각합니다 .,I think everyone has a weak point if they are human .
10623,나는 누구보다 환한 미소로 고객을 대접할 수 있다 .,I can treat a customer with a bright smile than anyone else .
10624,나는 누구에게도 무언가를 강요하지 않아요 .,I do not force anyone to do something .
10625,나는 누구의 간섭 없이 여행을 갈 수 있습니다 .,I can go on a trip without anyone s interference .
10626,나는 누구의 잘못을 탓하는 게 아니에요 .,I m not trying to say either you or I was wrong .
10627,나는 누구의 잘못인지 따지지 않을 거예요 .,I am not going to argue about who is at fault .
10628,나는 누구의 지시를 받으면서 일하고 싶지 않아요 .,I don t want to work under anyone s directions .
10629,나는 누구인지 모르지만 많은 사람에게 즐겨찾기가 되어 있습니다 .,Many people have put me under favorites although I don t know them .
10630,나는 누구한테 어떻게 클레임을 해야 할지도 모르겠다 .,I don t know how nor who to claim this too .
10631,나는 누구한테도 너의 이야기를 하지 않았어 .,I never told your story to anyone .
10632,나는 누군가가 이렇게 보고 싶었던 적이 없습니다 .,I haven t missed someone so bad this much .
10633,나는 누군가를 도와줄 때 대단한 사람이 되어야 한다고 생각했어요 .,I thought I would have to be a great person to help someone .
10634,나는 누군가를 위해 케이크를 만들려고 해 .,I am going to make a cake for someone .
10635,나는 누군가에게 병원비를 지불했습니다 .,I paid the hospital fee to someone .
10636,나는 누군가에게 쉬운 여자가 되고 싶지 않았어요 .,I don t want to seem like an easy girl to anybody .
10637,나는 누군가에게 어떤 지식 등을 가르쳐 주는 것을 좋아합니다 .,I like sharing and teaching knowledge to others .
10638,나는 누군가에게 익숙해지는 것이 두려워 .,I m afraid of getting familiar with someone .
10639,나는 누군가에게 익숙해지는 것이 두려워요 .,I am scared to get used to someone .
10640,나는 누군가에게 정말 가치 있는 사람이 되길 원했습니다 .,I wanted to be a worthy person to someone .
10641,나는 누군가에게 칭찬을 그 정도로 하지 않아요 .,I don t compliment someone that much .
10642,나는 누군가에게 카드를 나누어 줄 거야 .,I will distribute cards to someone .
10643,나는 누군가와 닮고 싶어요 .,I want to resemble somebody .
10644,나는 누군가와 대화 나누는 것을 좋아해요 .,I like to have a conversation with someone .
10645,나는 누군가와 사귀기보다 친구가 좋아요 .,I love to make friends better than I date somebody .
10646,나는 누군가와 이별할 때 손수건을 준다 .,When I break up with someone I give a handkerchief .
10647,나는 누군가와 함께 있어도 늘 언제나 외로워 .,I m always lonely even if I m with someone .
10648,나는 누군가와 함께하는 모든 것을 즐겨 .,I enjoy all the things that I do with someone else .
10649,나는 누군가와의 약속을 잘 지켜야 해요 .,I should keep a promise with someone .
10650,나는 누군가의 배트맨이 되고 싶어요 .,I want to be a batman for someone .
10651,나는 누군가의 친구이자 누군가의 아들이에요 .,I m someone s friend and son .
10652,나는 누나 2명과 남동생 1명이 있어 .,I have two older sisters and 1 little brother .
10653,나는 누나 집에서 이야기하고 있어 .,I am talking about it at my older sister s house .
10654,나는 누나의 심부름을 잊어버렸었어 .,I forgot to do my sister s favor .
10655,나는 누워 있으면 잠이 들려고 해요 .,When I lie down I m likely to fall asleep .
10656,나는 누워서 피로를 만들어내고 있어요 .,I am activating fatigue by lying down .
10657,나는 눈 때문에 오늘 아침에 대구로 올 수 있었어 .,I could come to Daegu because of the snow .
10658,나는 눈 축제에 가서 그 안에 들어가 보았어요 .,I went to the snow festival and tried going into it .
10659,나는 눈을 감고 있지만 자고 있진 않아 .,I m closing my eyes but I m not sleeping .
10660,나는 눈을 좋아하지만 당신은 눈을 싫어하겠네요 .,I love snow and you won t .
10661,나는 눈을 치우러 가야 해요 .,I have to go and plow snow .
10662,나는 눈을 한 번 본 적 있어 .,I have seen snow once .
10663,나는 눈이 높아서 데이트를 잘 안 해요 .,I hardly go on a date because I have high standards .
10664,나는 눈이 마주치자 쑥스러워서 고개를 돌렸어 .,I got shy when our eyes met and turned my head away .
10665,나는 눈이 예쁘고 착하게 생긴 여자가 좋아요 .,I like a nice looking girl who has pretty eyes .
10666,나는 눈이 오면 눈싸움하는 것을 좋아해요 .,I like to have snow fights when it snows .
10667,나는 눈이 올 때 나가는 게 싫어요 .,I don t like going out in the snow .
10668,나는 눈이 점점 나빠지고 있는 것 같아요 .,I think my eyes are becoming bad .
10669,나는 뉴욕 스타일로 머리를 자르겠어요 .,I ll have the New York cut .
10670,나는 뉴욕 여행 가이드북을 사서 열심히 공부해 갔다 .,I bought the New York travel guide and studied it thoroughly .
10671,나는 뉴욕 여행을 매우 기대하고 있어요 .,I am really looking forward to the New York tour .
10672,나는 뉴질랜드에 대해 거의 알지 못해요 .,I don t know about New Zealand .
10673,나는 뉴질랜드의 해변가에 가보고 싶어 .,I want to go to the beach in New Zealand .
10674,나는 느낌 좋은 음악을 들으면서 자 .,I sleep while listening to favorable music .
10675,나는 느낌으로 그곳이 가을임을 알았어 .,I knew by my feeling that it was autumn there .
10676,나는 늘 가족의 건강과 평안을 위하여 기도합니다 .,I always pray for the peace and health of my family .
10677,나는 늘 깊은 생각에 잠겨요 .,I am always lost in deep thinking .
10678,나는 늘 나의 이상형을 찾고 있어요 .,I am always finding my ideal type .
10679,나는 늘 내 가족을 위해 돈을 벌어요 .,I always earn money for my family .
10680,나는 늘 내 디자인이 파격적이길 바라 .,I always want my design to be unconventional .
10681,나는 늘 너에게 내 마음을 전하고 싶었었다 .,I ve always wanted to tell you my mind .
10682,나는 늘 당신 옆에 있어요 .,I am always beside you .
10683,나는 늘 당신에게 진실을 원하는 걸 알잖아요 .,You know that I always want the truth from you .
10684,나는 늘 디지털과 아날로그 사이에서 살았다 .,I always lived between digital and analog .
10685,나는 늘 변화를 좋아합니다 .,I always like the change .
10686,나는 늘 부정인 것 같아요 .,I feel like I m always negative .
10687,나는 늘 우리가 만날 수 있기를 원해왔어 .,I ve always wanted us to be able to meet .
10688,나는 늘 정직하고 성실하게 살아왔어요 .,I ve always lived honestly with good faith .
10689,나는 능동태와 수동태를 잘 구별하지 못했습니다 .,I couldn t differentiate between active and passive tenses .
10690,나는 능력 있는 네일 예술가가 되고 싶어 .,I want to be a competent nail artist .
10691,나는 능력 있는 여자이기 때문에 남편이 필요 없습니다 .,I don t need a husband because I am a capable lady .
10692,나는 능력 있는 팀장이 되고 싶어요 .,I want to be a competent team leader .
10693,나는 늦게 일어나 학교에 늦을 뻔했습니다 .,I almost about too late to school since I woke up late .
10694,나는 늦게 일어나서 비행기 못 타요 .,I got up late so I can t take an airplane .
10695,나는 늦게 일어나서 아침을 잘 안 먹어 .,I wake up late and don t eat much breakfast .
10696,나는 늦게 일을 끝내서 잠을 얼마 못 잤어 .,I couldn t get enough sleep because I finished work late .
10697,나는 늦게 잠을 자는 습관이 있어요 .,I have a habit of going to sleep late .
10698,나는 늦게 전철을 타고 집에 왔어 .,I took the subway and went back to home late .
10699,나는 늦게 퇴근하는 것을 안 좋아합니다 .,I don t like getting off late .
10700,나는 늦게까지 과제를 하느라고 늦잠 잤어 .,I woke up late cause of reporting late .
10701,나는 늦게까지 교수님의 작업을 도왔어요 .,I helped the professor s work till late .
10702,나는 늦은 나이에 꿈을 갖고 있어 .,I am having a dream at a late age .
10703,나는 늦은 만큼 더 일하고 퇴근할 거야 .,I ll go home after working extra to make up for being late .
10704,나는 늦잠을 잤기 때문에 이제 출근합니다 .,I went to work because I overslept .
10705,나는 늪 바닥을 뛰어다니는 것을 좋아해 .,I love to run around the swamp .
10706,나는 늪과 하나가 될 거예요 .,I ll become one with the swamp .
10707,나는 니가 우리를 챙기기 위해 더 노력하는 것을 느꼈다 .,I felt that you tried hard to take care of us .
10708,나는 니가 웨딩드레스 입고 있는걸 빨리 보고 싶어 .,I can t wait to see you in a wedding dress .
10709,나는 니가 항의한 구독자들에게 사과하기를 제안해요 .,I suggest you apologize to the subscribers whom you protested to .
10710,나는 닌텐도와 꾸미기 재료를 받고 싶어요 .,I want to receive Nintendo and decorating materials .
10711,나는 다 먹고 카페에 갔습니다 .,I went to the cafe after finish eating .
10712,나는 다 먹고 커피 마시고 지금 집에 왔어 .,I drank all the coffee and just come back home now .
10713,나는 다 성장한 아이들을 만날 거라고 예상했어 .,I expected to meet the grown kids .
10714,나는 다가오는 명절에 가족에게 선물할 것이에요 .,I ll present it to my family oncoming holiday .
10715,나는 다니엘에 대해 알게 되어 좋아 .,It s good to know about Daniel .
10716,나는 다락방에서 매일 저녁 배트와 만나 야구를 함께 해요 .,I meet Bart at the attic every evening and play some baseball .
10717,나는 다르게 생각하려고 노력했어요 .,I tried to think differently .
10718,나는 다른 갤러리에 갈 건데 당신은요 ?,I ll go to another gallery will you ?
10719,나는 다른 건 필요 없고 오직 너만 필요해 .,All I need is you and don t need anything else .
10720,나는 다른 것들을 더 구입하고 돌아왔어 .,I returned after buying more things .
10721,나는 다른 것으로 복습할 거예요 .,I will review it but with other material .
10722,나는 다른 경쟁자들과 다른 방식으로 사업을 하고 있어 .,I have a different way to run a business .
10723,나는 다른 곳보다 회사에서 더 열심히 일을 할 수 있을 것 같아 .,I think I can work harder in the office than in other places .
10724,나는 다른 과일보다도 복숭아가 좋습니다 .,I like peach more than other fruits .
10725,나는 다른 나라 음식들을 많이 먹어 봤어 .,I have often eaten foreign foods .
10726,나는 다른 나라로 여행가는 우리나라 관광객들에게 좋은 추억을 남겨주고 싶습니다 .,I want to make good memories for the people who travel abroad .
10727,나는 다른 나라로 여행을 갈 때만 약간의 걱정을 합니다 .,I only worry when I travel abroad .
10728,나는 다른 누구보다도 당신을 사랑합니다 .,I love you more than anybody else does .
10729,나는 다른 부품들을 구매하여 조립하기도 했습니다 .,Sometimes I bought other components and assembled them .
10730,나는 다른 사람과 얘기할 때 많은 생각을 합니다 .,I have lots of thoughts when I m talking with others .
10731,나는 다른 사람과의 경쟁에서 이겨서 기뻐 .,I am happy to win the competition with others .
10732,나는 다른 사람들보다 키가 큰 편이에요 .,I m taller than other people .
10733,나는 다른 사람들에게 호의를 잘 베풀어 .,I am generous with favors .
10734,나는 다른 사람들에게 환경친화적인 제품을 사도록 권장해요 .,I recommend the others to buy eco friendly products .
10735,나는 다른 사람들의 행복을 찾을 수 있게 도와줄 수 있다고 생각합니다 .,I think I can help other people find happiness .
10736,나는 다른 사람들이 즐기고 맛있는 것을 먹는 동안 열심히 공부했습니다 .,I studied hard while others spent time having fun and eating delicious food .
10737,나는 다른 사람에게 부탁 같은 거 잘 못 해 .,I m not good at asking someone a favor .
10738,나는 다른 사람의 마음을 읽고 싶지 않아 .,I don t want to read another person s mind .
10739,나는 다른 사람이 여기 사용하지 말라는 명령을 받았어 .,I received an order that no one should use this place .
10740,나는 다른 사람이 일하도록 만들어요 .,I make other people work .
10741,나는 다른 사람한테 줄 선물을 살 때 기분이 좋다 .,I m happy when I buy a present for others .
10742,나는 다른 사진이 하나도 없어 .,I don t have any other photos .
10743,나는 다른 세계 여러 나라를 여행하기를 원하는데 그중에서도 특히 유럽을 꼭 가보고 싶다 .,I want to travel to other countries especially Europe .
10744,나는 다른 어떤 것 보다 당신의 혀를 원해요 .,I want your tongue more than anything else .
10745,나는 다른 여러 가지 업무로 지속해서 협조하지 못합니다 .,I cant continuously provide support due to some other issues that have occurred .
10746,나는 다른 여성을 절대 쳐다보지 않아요 .,I never see other women .
10747,나는 다른 여자 친구가 당신 주위에서 보이지 않았으면 좋겠어요 .,I would like it if there were no female friends were around you .
10748,나는 다른 여자들은 싫어요 .,I hate the other girls .
10749,나는 다른 여자들처럼 아주 이쁘지는 않아요 .,I am not that pretty like other girls .
10750,나는 다른 여자하고 채팅할 시간이 없어 .,I don t have enough time to chat with other women .
10751,나는 다른 영어 선생님을 찾아야 해요 .,I need to find another English teacher .
10752,나는 다른 외국인들이 말하는 거를 들어 보려고 노력해요 .,I try to listen to other foreigners when they speak .
10753,나는 다른 운전기사와 갈 거예요 .,I will go with another driver .
10754,나는 다른 이메일로 당신에게 문의했습니다 .,I enquired you through a different email account of mine .
10755,나는 다른 이메일로 선적 서류 첨부했습니다 .,I have attached the shipment document to another e mail .
10756,나는 다른 이슈가 있으면 너에게 연락할게 .,I will contact you if I have another issue .
10757,나는 다른 이유는 하나도 없어 .,I don t have any other reasons .
10758,나는 다른 일들을 멈추고 이 작업만 해야 해요 .,I have to stop other works and do this job .
10759,나는 다른 일을 하기 위해 서울로 가요 .,I m going to go to Seoul to do another job .
10760,나는 다른 일을 하나 더 하게 되었어 .,I get to have one more job .
10761,나는 다른 일정 때문에 직원과 같이 가지 못 합니다 .,I can t go with employees because of another schedule .
10762,나는 다른 작품도 좋지만 해바라기 시리즈를 좋아해 .,I like other paintings too but my favorite is the sunflower series .
10763,나는 다른 제품으로 거래하기로 그에게 권유했습니다 .,I proposed to him to deal with another product .
10764,나는 다른 직업이 있어 바쁘게 지내고 있다 .,I ve been busy since I have another job .
10765,나는 다른 직원들이 청소까지 할 거라고는 기대하지 않습니다 .,I do not expect other workers to do even cleaning .
10766,나는 다른 최선의 방법을 계속 찾고 있으니 걱정 마세요 .,I m looking for other better options so don t worry .
10767,나는 다른 친구들보다 많은 선원과 모임을 하고 싶었어요 .,I wanted to make a meeting with many sailors than other friends .
10768,나는 다른 친구들보다 많은 친구와 모임을 하고 싶었어요 .,I wanted to place a meeting with more friends than other friends did .
10769,나는 다른 친구에게 시티 투어는 지루하다는 것을 들었다 .,I heard from my friend s other city tours are boring .
10770,나는 다른 판매자 때문에 민감한 상태입니다 .,I m sensitive now because of other sellers .
10771,나는 다른 학년들은 무책임하다고 생각합니다 .,I think other grades are irresponsible .
10772,나는 다른 학생보다 수업료를 많이 냅니다 .,I pay more than other students for the tuition .
10773,나는 다른 한 조각의 케잌을 더 달라고 엄마에게 요구했어요 .,I asked my mom to give me another piece of cake .
10774,나는 다른 한 짝을 찾고 있어요 .,I am looking for my other half .
10775,나는 다른 헤어 밴드는 사용하지 않습니다 .,I don t use any other hair bands .
10776,나는 다리 근력 운동이 운동중에서 가장 중요하다고 생각해 .,I think leg strength exercise is the most important workout .
10777,나는 다만 예전부터 널 사랑하고 있어 .,But I ve loved you in the past .
10778,나는 다만 우리가 결혼한 뒤에 제가 하고 싶은 것을 진실하게 말한 것뿐입니다 .,I just honestly said what I want to do after we get married .
10779,나는 다섯 시간 동안이나 기다렸어 .,I ve waited for 5 hours .
10780,나는 다섯 여자와 진지한 만남을 가졌다 .,I ve had deep relationships with five girls so far .
10781,나는 다시 감정이 생기기 시작했어요 .,I m starting to feel emotions again .
10782,나는 다시 그곳에 왔어요 .,I came there again .
10783,나는 다시 내 자리에서 일하고 있어 .,I m working again at my place .
10784,나는 다시 당신의 손을 잡고 싶어요 .,I want to hold your hands again .
10785,나는 다시 디자인된 가방의 오더 수량을 늘리고 싶습니다 .,I d like to increase the order of the redesigned bag .
10786,나는 다시 생각해봐도 좀 무서워 .,I look back and it s a little scaring .
10787,나는 다시 안경을 주문하려고 합니다 .,I d like to order glasses again .
10788,나는 다시 어린아이가 되고 싶습니다 .,I want to be a child again .
10789,나는 다시 엑스레이를 찍어야 합니까 ?,Do I have to be X rayed again ?
10790,나는 다시 여름 방학으로 돌아가고 싶어 .,I want to go back to the summer vacation .
10791,나는 다시 올바른 주소로 받고 싶습니다 .,I would like to receive it again with the right address .
10792,나는 다시 이곳에 오겠다는 약속을 지키지 않았어 .,I didn t keep the promise to come here again .
10793,나는 다시 자신감과 열정으로 진로에 대한 계획을 세웠습니다 .,I established my future plan with confidence and passion again .
10794,나는 다시 태어나도 당신의 딸로 태어나겠습니다 .,If I am ever reborn I ll be born as your daughter .
10795,나는 다시 태어나도 당신의 아들이 되고 싶습니다 .,If I reborn in next life I want to be your son again .
10796,나는 다시 태어나도 엄마 아들로 태어나고 싶어요 .,I want to be your son again in my next life .
10797,나는 다시 페이팔로 청구서를 보내야 하나 ?,Do I have to send the account through Paypal again ?
10798,나는 다시 학교에서 공부하고 싶어 .,I want to study at school again .
10799,나는 다시 학생이 되어 공부하고 있어요 .,I am studying again after becoming a student .
10800,나는 다시 한 번 당신에게 고맙다고 생각합니다 .,I want to thank you once again .
10801,나는 다시 한번 당신께 이야기합니다 .,I tell you once again .
10802,나는 다시 한번 더 당신을 귀찮게 한 점에 대해 사과드립니다 .,I apologize for bothering you once again .
10803,나는 다시 한번 도전해보기로 했습니다 .,I decided to try again .
10804,나는 다시 힘을 내어 열심히 공부하겠습니다 .,I will cheer up again and study hard .
10805,나는 다시는 너에게 부탁하지 않을꺼야 .,I m never going to ask you a favor ever again .
10806,나는 다시는 누구도 사랑하지 않을거야 .,I ll never love anyone ever again .
10807,나는 다시는 스카이 보드를 타지도 않을 거고 다시는 쳐다보지도 않을 거야 .,I will neither ride Skyboard nor look at it again .
10808,나는 다양한 경험을 통해 인생을 더 즐기고 싶어 .,I want to enjoy my life more through various experiences .
10809,나는 다양한 경험을 해 본 친구를 원했어요 .,I want a friend who has a lot of experience .
10810,나는 다양한 과일을 선택해서 바구니에 집어넣었어 .,I selected various fruits and put them into the basket .
10811,나는 다양한 국가에서 여자를 찾고 있습니다 .,I m looking for women from various countries .
10812,나는 다양한 기능을 사용해서 원하는 자료를 얻어 .,I get materials that I want using various functions .
10813,나는 다양한 악기를 연주하는 방법을 배울 거야 .,I am going to learn how to play various muiscal instruments .
10814,나는 다양한 폼으로 더 깊게 스티커 작업을 해보고 싶어 .,I want to work deeper on stickers with various form .
10815,나는 다운 재킷을 입고 거리를 걸었어요 .,I walked along the street wearing a down jacket .
10816,나는 다음 달 2일에 한국으로 돌아올 거야 .,I will come back to Korea on 2nd of next month .
10817,나는 다음 달에 괌으로 3박 4일 동안 여행가요 .,I am going to Guam for 3 nights and 4 days next month .
10818,나는 다음 달에 나의 딸이 오면 같이 있기를 바래요 .,I hope to stay together if my daughter comes in next month .
10819,나는 다음 달에 내가 출장 갈 곳이 어딘지 알고 있어 .,I know where I go on a business trip next month .
10820,나는 다음 달에 더 많은 사진을 받을 수 있어 .,I can receive more pictures next month .
10821,나는 다음 달에 도시로 이사할 예정이에요 .,I am going to move to the city next month .
10822,나는 다음 달에 돈을 꼭 갚겠다고 약속합니다 .,I promise I will pay the money back next month .
10823,나는 다음 달에 반을 옮길 예정입니다 .,I m changing the class next month .
10824,나는 다음 달에 입찰이 있을 거로 예상해요 .,I expect that there will be a bid next month .
10825,나는 다음 달에 입찰할 거로 예상해요 .,I predict to tender next month .
10826,나는 다음 달에 전화 영어 수강 신청을 했어 .,I applied for a telephone English course for the next month .
10827,나는 다음 달에 졸업할 예정입니다 .,I m going to graduate next month .
10828,나는 다음 달에 친구와 필리핀 여행 계획 .,I m planning to travel to the Philippines with my friend next month .
10829,나는 다음 달에 코를 성형할 거에요 .,I will get a nose job .
10830,나는 다음 달에 한국을 다시 방문해요 .,I m visiting Korea next month again .
10831,나는 다음 달에 후쿠오카로 혼자 여행갑니다 .,I will travel alone to Fukuoka next month .
10832,나는 다음 달에나 시간이 될 것 같아 .,I can have some free time next month .
10833,나는 다음 달에도 다시 너를 만나고 싶어 .,I hope I can meet you again next month .
10834,나는 다음 도메인 5개를 300불에 팔게 .,I will sell the following 5 domains at 300 dollars .
10835,나는 다음 문장을 학습할 예정이에요 .,I ll learn the next sentence .
10836,나는 다음 생에 태어나도 엄마 아빠 아들 할래 .,I ll be my parent s son in the next life .
10837,나는 다음 생에도 그녀의 아들로 태어나고 싶어 .,I hope I could be her son again in my next life .
10838,나는 다음 시간 주제가 무엇인지 문의하고 싶었다 .,I wanted to inquiry what is the topic for the next class .
10839,나는 다음 역에서 내릴 거예요 .,I will get off at the next station .
10840,나는 다음 인터뷰에 다시 지원할 것입니다 .,I will apply for the next interview again .
10841,나는 다음 주 수요일에 이 일을 관둘 거에요 .,I m going to quit this job next Saturday .
10842,나는 다음 주 시험에 좋은 결과를 기대할게 .,I hope you get good results for next week s test .
10843,나는 다음 주 월요일 병원 진료를 예약해야 합니다 .,I have to make a reservation for the hospital next Monday .
10844,나는 다음 주 월요일 목요일은 미팅 시간이 괜찮습니다 .,I am fine from Monday Thursday for a meeting .
10845,나는 다음 주 일요일에 모든 것들을 파괴할 거야 .,I will destroy everything next Sunday .
10846,나는 다음 주 일요일에 미국으로 떠나요 .,I am going to leave for America next Sunday .
10847,나는 다음 주 토요일이나 일요일에 모두 시간 돼요 .,I have time both next Saturday and Sunday .
10848,나는 다음 주말의 스케줄을 확인했어요 .,I checked the schedule for next weekend .
10849,나는 다음 주문 때 송금할게요 .,I will send it to you in the next order .
10850,나는 다음 주문을 위해 기다리고 있어요 .,I am waiting for the next order .
10851,나는 다음 주부터 돈을 벌기 위해 일을 할 것입니다 .,I will work to make money from next week .
10852,나는 다음 주부터 조금씩 운동을 할 수 있어 .,I can workout little by little after this week .
10853,나는 다음 주부터 첫 회의를 시작할 것을 제안했어요 .,I suggested starting the first meeting next week .
10854,나는 다음 주부터 헬스장에서 운동할 거예요 .,I will work out in a gym next week .
10855,나는 다음 주부터 회사를 옮기기로 해서 준비 중이야 .,I m set to move the company from next week .
10856,나는 다음 주에 종루에 갈 예정이에요 .,I am planning to go to Jongru next week .
10857,나는 다음 주에 27살이 될 거야 .,I will be 27 years old next week .
10858,나는 다음 주에 3일을 더 근무해야 해요 .,I have to work three more days next week .
10859,나는 다음 주에 4일간 휴일입니다 .,I have 4 days off next week .
10860,나는 다음 주에 강원도에 가려고 계획했어요 .,I planned to go to Gangwondo next week .
10861,나는 다음 주에 교육에 참석할 것입니다 .,I will attend an education next week .
10862,나는 다음 주에 교육에 참석할 예정입니다 .,I am planning to attend the training seminar .
10863,나는 다음 주에 그 책을 받을 거예요 .,I will receive the book next week .
10864,나는 다음 주에 낚시하러 갈 것입니다 .,I will go fishing next week .
10865,나는 다음 주에 너를 보기만을 기다려 .,I am looking forward to seeing you next week .
10866,나는 다음 주에 대전으로 이사할 예정입니다 .,I will move to Dae jun next week .
10867,나는 다음 주에 맛있는 식사를 같이하고 싶습니다 .,I would like to have a delicious meal next week together .
10868,나는 다음 주에 번역하여 설명할 것이에요 .,I will translate and explain it next week .
10869,나는 다음 주에 병사들에게 교육하기 위해 준비해요 .,I am preparing next week s education for soldiers .
10870,나는 다음 주에 부산 런칭 담당자로서 계획을 전체적으로 공유하겠습니다 .,Next week I would share the overall plan as the Busan launcher .
10871,나는 다음 주에 비행기 표 예약할 예정이야 .,I am planning to book the plane ticket next week .
10872,나는 다음 주에 사이판으로 4박 5일 여행 갈 거에요 .,I ll travel to Saipan for about five days next week .
10873,나는 다음 주에 선생님에게 좋은 성적 때문에 주목을 받을 것이에요 .,I ll have the teachers attention because of my good grade .
10874,나는 다음 주에 선생님에게 좋은 성적 때문에 칭찬을 들을 것이에요 .,I will be praised for a good score by a teacher next week .
10875,나는 다음 주에 업체와 확인 후 당신에게 말해 줄게요 .,I ll tell you after I check up with the company next week .
10876,나는 다음 주에 에어 스케줄을 당신에게 말해 줄 수 있어요 .,I can tell you the broadcast schedule next week .
10877,나는 다음 주에 여행 가려고 일하고 있어 .,I have been working to go to travel next week .
10878,나는 다음 주에 우체국에 가는 거 취소하겠습니다 .,I will cancel to go to the post office next week .
10879,나는 다음 주에 있는 너의 수업을 휴강해 주길 원해요 .,I d like you to cancel your lecture next week .
10880,나는 다음 주에 있는 태권도 시합을 위해 살을 빼야 해 .,I need to lose some weight for the Taekwondo competition next week .
10881,나는 다음 주에 재고가 입고된다고 확인했습니다 .,I ve confirmed that the stocks will arrive next week .
10882,나는 다음 주에 제품 생산 일정을 공유하겠다 .,I ll share the product producing schedule next week .
10883,나는 다음 주에 집에서 만든 슈크림 빵을 준비하겠다 .,I ll prepare a home made cream puff pastry next week .
10884,나는 다음 주에 하게 될 연설을 연습했습니다 .,I practiced the speech I m going to do next week .
10885,나는 다음 주에 한 번 더 지급을 할 예정이에요 .,I am going to remunerate once again next week .
10886,나는 다음 주에 한국 출장을 가야 합니다 .,I have to go on a business trip to Korea next week .
10887,나는 다음 주에 행사하는데 카탈로그가 필요해요 .,I need a catalog for the upcoming event .
